time	tavg	tmin	tmax	prcp	snow	wdir	wspd	wpgt	pres	tsun
2023-11-01	17.8	12.7	25.4	0.0		353.0	1.3		1013.7	
2023-11-02	17.2	12.6	24.2	4.8		352.0	1.2		1010.2	
2023-11-03	17.0	11.0	23.4	0.3		27.0	3.5		1006.0	
2023-11-04	16.3	12.6	22.4	0.0		340.0	8.1		1001.9	
2023-11-05	16.8	9.0	24.2	2.5		319.0	4.5		1008.3	
2023-11-06	19.0	12.0	27.0	0.0		331.0	2.8		1012.9	
2023-11-07	15.6	8.2	24.5	0.0		0.0	0.7		1020.0	
2023-11-08	15.8	8.1	24.0	0.0		348.0	2.3		1017.2	
2023-11-09	14.1	9.8	20.4	2.8		6.0	2.7		1019.6	
2023-11-10	13.1	9.0	17.4	0.0		5.0	1.2		1016.7	
2023-11-11	13.4	10.0	18.2	0.3		344.0	2.4		1009.0	
2023-11-12	13.3	6.8	20.0	0.0		349.0	1.8		1012.6	
2023-11-13	15.1	10.8	21.0	0.4		0.0	1.3		1014.5	
2023-11-14	12.7	7.0	20.0	0.0		0.0	0.0		1017.4	
2023-11-15	14.6	8.0	23.0	0.0		344.0	2.2		1012.1	
2023-11-16	12.5	7.0	18.6	0.0		344.0	4.1		1018.5	
2023-11-17	11.0	5.0	19.0	0.0		4.0	1.0		1013.8	
2023-11-18	10.4	6.0	14.8	2.5		325.0	14.9		1009.4	
2023-11-19	7.1	0.6	14.2	0.0		342.0	3.2		1016.7	
2023-11-20	7.5	0.0	17.4	0.0		0.0	0.0		1015.9	
2023-11-21	8.9	1.6	18.0	0.0		0.0	0.0		1013.6	
2023-11-22	11.4	2.8	15.2	1.5		359.0	0.3		1011.4	
2023-11-23	13.7	10.6	17.6	5.9		2.0	0.3		1017.7	
2023-11-24	13.7	11.2	19.2	0.8		1.0	0.3		1008.4	
2023-11-25	11.2	6.4	17.0	0.0		355.0	4.4		989.0	
2023-11-26	6.4	4.0	10.0	11.2		293.0	24.3		1002.9	
2023-11-27	4.7	-2.2	12.5	0.0		356.0	1.3		1018.1	
2023-11-28	6.7	2.4	11.2	0.0		343.0	2.0		1005.8	
2023-11-29	11.2	5.2	20.2	2.8		355.0	0.8		1005.1	
2023-11-30	9.8	4.0	18.0	0.0		1.0	0.7		1016.0	
2023-12-01	12.6	6.0	22.0	0.0		340.0	3.7		1016.1	
